hour	min	sec	msec	pressure altitude	calibrated airspeed	mach	angle of attack	roll angle	sideslip angle	left flaperon position	right flaperon position	left horizontal tail position	right horizontal tail position	left rudder position	right rudder position	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	sensor 6	sensor 7	sensor 8	sensor 9	sensor 10	sensor 11	sensor 12	sensor 13	sensor 14	sensor 15	sensor 16	sensor 17	sensor 18	sensor 19	sensor 20	sensor 21	sensor 22	sensor 23	sensor 24	sensor 25	sensor 26	sensor 27	sensor 28
16	58	27	559	0.0	1017	0.8483571212780899	-8	7	-7	-3	3	-6	-1	-9	1	0.34241	0.22976	0.16684	0.26039	0.1844	2.04148	-0.16819	-0.12995	0.15041	0.99292	0.16142	0.16498	-1.03838	-0.39188	0.74151	-0.56105	0.36993	0.93559	1.13234	0.67511	0.30921	1.33937	0.77916	0.26102	-0.60606	0.3771	0.18855	0.17785
16	58	27	561	1.302252897512697	987	0.8935182014836205	-1	0	6	6	0	-1	-8	0	-6	0.36966	0.25304	0.08952	0.17325	0.25735	0.70719	-0.07801	-0.13503	0.21748	0.99596	0.0802	0.05567	0.23381	-0.07411	0.72359	-0.37304	0.24934	-0.04528	1.28643	0.65967	0.29712	-0.07708	0.80273	0.17288	0.10774	-0.16498	0.11111	0.34564
16	58	27	563	2.604505795025394	982	0.7337624611551253	-4	8	5	3	-4	7	-2	3	-1	0.38266	0.22267	0.03967	0.19757	0.15502	-1.12222	-0.11246	-0.03249	0.25813	0.99899	0.01523	-0.00102	1.38889	0.08528	0.74089	-0.26262	0.21664	0.04972	1.47802	0.56911	0.30619	0.5896	0.72084	-0.30169	-0.08418	-0.65657	0.25589	0.42953
16	58	27	565	3.906758692538091	1093	0.7079555271951893	-10	6	4	2	-1	7	-9	6	-3	0.37833	0.21255	0.0824	0.26545	0.11044	-1.6	0.02128	0.03959	0.20935	1.00102	-0.05787	0.06984	0.84615	-0.05381	0.81815	-0.37702	0.25139	0.22147	1.47093	0.4487	0.27597	0.77022	0.59553	-0.77627	-0.15488	-0.3266	-0.07407	0.76846
16	58	27	567	5.209011590050788	1090	0.8209359186251446	2	2	-3	7	9	-10	6	-4	6	0.35851	0.2085	0.17497	0.231	0.13982	-0.62715	0.56839	0.12284	0.14837	1.00406	-0.11066	0.07287	-0.48785	-0.14518	0.92383	-0.34419	0.28307	-0.44377	1.3361	0.18318	0.20647	-0.65686	0.48263	-1.10101	1.32215	0.07407	-0.70707	1.30976
16	58	27	569	6.511264487563485	1000	0.8252858355939405	-10	-4	-10	9	8	-7	-7	-1	-2	0.32508	0.18623	0.19837	0.12158	0.07194	0.72543	0.90375	0.3066	0.15752	1.00711	-0.10051	-0.00712	-0.97065	-0.29746	0.998	-0.18304	0.27387	-1.31416	1.20634	0.00515	0.13799	-1.50438	0.40943	-0.91186	2.60334	-0.14815	-1.03378	1.50842
16	58	27	572	7.813517385076182	910	0.8785064587115614	5	-6	-1	-8	2	2	0	3	-2	0.27926	0.19737	0.16582	0.06687	-0.01418	1.49192	0.73658	0.41117	0.2124	1.01015	-0.04569	0.03441	-0.51215	-0.52183	0.998	-0.17408	0.22073	-0.98717	0.89614	0.15951	0.12288	-0.6267	0.37345	-0.10847	1.60403	-0.45455	-1.12838	1.0303
16	58	27	574	9.11577028258888	1059	0.8108918020311296	9	-4	-6	6	-1	-9	-3	-2	-7	0.22972	0.24696	0.16073	0.11955	0.01621	1.06061	0.23506	0.31066	0.22663	1.01421	-0.01827	0.11437	0.26417	-0.71574	0.9331	-0.14126	0.21869	0.30282	0.38826	0.37357	0.18633	1.03605	0.34739	0.5661	0.14141	-0.36027	-0.93939	0.31544
16	58	27	576	10.418023180101576	1071	0.835817515185427	3	0	0	7	6	2	-2	-9	-3	0.19009	0.27024	0.13937	0.19352	0.03242	-0.3384	-0.45289	0.15228	0.18801	1.01726	-0.0335	0.03644	0.78543	-0.69137	0.85152	0.0459	0.22584	1.36045	0.05576	0.28816	0.23871	1.96238	0.28784	0.44068	0.29293	-0.25589	-0.07744	0.27852
16	58	27	578	11.720276077614272	969	0.7241675756749146	3	4	8	-1	0	8	-4	-6	-10	0.17709	0.24595	0.05188	0.1692	-0.08308	-1.31515	-0.48734	0.07208	0.17175	1.01726	0.02538	-0.02441	0.92409	-0.51371	0.80331	0.16728	0.10015	2.22491	0.07299	0.11115	0.16921	2.16011	0.16377	-0.11525	0.78788	-0.53535	0.60943	0.53691
