"filename", "language", "Python", "XML", "Markdown", "pip requirements", "Jupyter", "CSS", "comment", "blank", "total"
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\PyQtFlightTest.py", "Python", 17, 0, 0, 0, 0, 0, 10, 6, 33
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\config\MainWindowSettings.py", "Python", 11, 0, 0, 0, 0, 0, 7, 5, 23
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\config\MatplotlibSettings.py", "Python", 65, 0, 0, 0, 0, 0, 17, 7, 89
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\config\Name.py", "Python", 51, 0, 0, 0, 0, 0, 20, 17, 88
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\config\PyvistaSettings.py", "Python", 15, 0, 0, 0, 0, 0, 9, 7, 31
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\config\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 7, 2, 11
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\docs\side_bar.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\draft\lstsq.ipynb", "Jupyter", 0, 0, 0, 0, 119, 0, 0, 1, 120
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\draft\side_tab.py", "Python", 48, 0, 0, 0, 0, 0, 7, 24, 79
"c:\Users\bcynuaa\Desktop\LocalProject\GuoQT\CODE\PyQtFlightTest\draft\side_tab.qss", "CSS", 0, 0, 0, 0, 0, 16, 0, 2, 18
